Intensity (dB SPL)	0	20	40	60	80	100
193.957	-61.8945	-41.8945	-21.8945	-1.89454	18.1055	65.8586
205.753	-60.9971	-40.9971	-20.9971	-0.99707	19.0029	67.1052
218.267	-60.1009	-40.1009	-20.1009	-0.100904	19.8991	68.2113
231.541	-59.2296	-39.2296	-19.2296	0.770376	20.7704	69.1999
245.623	-58.3705	-38.3705	-18.3705	1.62947	21.6402	70.004
260.562	-57.4796	-37.4796	-17.4796	2.52037	22.6808	70.8558
276.409	-56.5882	-36.5882	-16.5882	3.41181	23.9067	71.5756
293.219	-55.6105	-35.6105	-15.6105	4.38948	25.4458	72.3295
311.052	-54.5216	-34.5216	-14.5216	5.47841	27.619	73.1165
329.97	-53.2435	-33.2435	-13.2435	6.75655	30.7825	74.0337
350.038	-51.768	-31.768	-11.768	8.23204	35.2989	75.0914
371.327	-50.0961	-30.0961	-10.0961	9.90389	41.0346	76.301
393.911	-48.2423	-28.2423	-8.24227	11.7577	47.0301	77.6434
417.868	-46.2113	-26.2113	-6.21127	13.7887	52.5314	79.0787
443.282	-44.0083	-24.0083	-4.00831	15.9917	56.9137	80.6465
470.241	-41.6332	-21.6332	-1.63315	18.3668	59.9035	82.308
498.841	-39.0793	-19.0793	0.920694	20.9207	62.4249	84.0331
529.179	-36.281	-16.281	3.71903	24.268	64.6678	85.8312
561.363	-33.1707	-13.1707	6.82931	30.0487	66.8555	87.7266
595.504	-29.6206	-9.6206	10.3794	37.9133	69.0053	89.6444
631.722	-25.5399	-5.53991	14.4601	44.8943	71.0715	91.4915
670.142	-20.8251	-0.825124	19.1749	49.8501	72.6655	92.8217
710.899	-15.6814	4.31859	24.7821	52.127	72.5128	92.217
754.135	-11.0745	8.92547	29.9905	51.13	69.5917	88.6001
800	-9.4247	10.5753	30.3898	47.081	63.9466	81.381
848.655	-13.053	6.94695	26.3924	41.2243	57.2675	73.7053
900.268	-20.5697	-0.56973	19.4303	34.8842	52.1974	69.9794
955.021	-28.9019	-8.90188	11.0981	29.0192	47.0768	66.2233
1013.1	-36.2537	-16.2537	3.74632	23.5696	40.3282	61.9363
1074.72	-42.2004	-22.2004	-2.20043	17.7996	34.9305	58.0906
1140.08	-47.1786	-27.1786	-7.17859	12.8214	30.8714	52.4831
1209.42	-51.8826	-31.8826	-11.8826	8.11735	27.0532	43.792
1282.97	-56.6283	-36.6283	-16.6283	3.37166	23.2459	39.9541
1361	-60.5535	-40.5535	-20.5535	-0.553517	19.4465	35.7226
1443.78	-63.2895	-43.2895	-23.2895	-3.28947	16.7105	34.993
1531.59	-66.13	-46.13	-26.13	-6.13002	13.87	32.8182
1624.73	-69.6697	-49.6697	-29.6697	-9.66974	10.3303	29.7589
1723.55	-72.6681	-52.6681	-32.6681	-12.6681	7.33192	27.202
1828.37	-74.1467	-54.1467	-34.1467	-14.1467	5.85335	25.8533
1939.57	-76.1356	-56.1356	-36.1356	-16.1356	3.86444	23.8644
